koyne,hoyne,0.8
krdzie,kedzie,0.833333333333
tilton,wilton,0.833333333333
harrison stw,harrison,0.8
woods,wood,0.888888888889
maagonlia,magnolia,0.823529411765
eugente,eugenie,0.857142857143
sedwich,sedgwick,0.8
kiong,kiona,0.8
kilda,kildare,0.833333333333
cylde,coyle,0.8
montrose hr,montrose,0.842105263158
mayford,hayford,0.857142857143
knoster,kostner,0.857142857143
lorg,loring,0.8
canel,canal,0.8
dela,delano,0.8
cullon,cullom,0.833333333333
ardomre,ardmore,0.857142857143
fillomre,fillmore,0.875
ridegway,ridgeway,0.875
coutland,cortland,0.875
kedize,kedzie,0.833333333333
indianpolis,indianapolis,0.95652173913
hudons,hudson,0.833333333333
jefersno,jefferson,0.823529411765
lakleshore,lake shore,0.9
pleansant,pleasant,0.941176470588
drexel sq,drexel square,0.818181818182
engleewodo,englewood,0.842105263158
ravensweodo,ravenswood,0.857142857143
e wells,wells,0.833333333333
weels,wells,0.8
pulsk,pulaski,0.833333333333
washte,washtenaw,0.8
milalrd,millard,0.857142857143
miliard,millard,0.857142857143
overhiil,overhill,0.875
chickgo,chicago,0.857142857143
clyborn,clybourn,0.933333333333
dalaware,delaware,0.875
waveladn,waveland,0.875
walaen,wallen,0.833333333333
garfield bl,garfield,0.842105263158
cystral,crystal,0.857142857143
ridgewodo,ridgewood,0.888888888889
wabsah,wabash,0.833333333333
lcoust,locust,0.833333333333
glenwodoa,glenwood,0.823529411765
glenwodoo,glenwood,0.823529411765
mrade,meade,0.8
rpinceton,princeton,0.888888888889
emglewood,englewood,0.888888888889
wasington,washington,0.947368421053
inglesidea,ingleside,0.947368421053
camren,carmen,0.833333333333
avera,avers,0.8
chiccago,chicago,0.933333333333
gordonter,gordon,0.8
randolohp,randolph,0.823529411765
narragnsett,narragansett,0.95652173913
rhodesa,rhodes,0.923076923077
kennon,kennison,0.857142857143
cortze,cortez,0.833333333333
ellsi,wells,0.8
harperct,harper,0.857142857143
everon,vernon,0.833333333333
lotusa,lotus,0.909090909091
unio,union,0.888888888889
larrbaee,larrabee,0.875
norse,morse,0.8
stert,stewart,0.833333333333
harion,harrison,0.857142857143
ainlsie,ainslie,0.857142857143
